role,errors,total,rate
ARG0,331,867,0.3817762399077278
ARG0-by,15,26,0.5769230769230769
ARG0-in,1,1,1.0
ARG0-with,1,1,1.0
ARG1,596,1224,0.4869281045751634
ARG1-REC,0,1,0.0
ARG1-about,6,6,1.0
ARG1-as,1,2,0.5
ARG1-at,1,1,1.0
ARG1-by,2,2,1.0
ARG1-for,3,5,0.6
ARG1-in,0,2,0.0
ARG1-into,1,1,1.0
ARG1-of,3,3,1.0
ARG1-on,3,4,0.75
ARG1-to,8,10,0.8
ARG1-up,1,1,1.0
ARG1-with,2,5,0.4
ARG2,72,118,0.6101694915254238
ARG2-DIR,0,2,0.0
ARG2-EXT,23,34,0.6764705882352942
ARG2-MNR,2,3,0.6666666666666666
ARG2-PNC,4,4,1.0
ARG2-REC,1,1,1.0
ARG2-aboard,1,1,1.0
ARG2-about,1,2,0.5
ARG2-against,2,2,1.0
ARG2-among,1,1,1.0
ARG2-as,13,16,0.8125
ARG2-at,7,10,0.7
ARG2-between,2,2,1.0
ARG2-by,6,8,0.75
ARG2-for,8,8,1.0
ARG2-from,7,12,0.5833333333333334
ARG2-in,10,14,0.7142857142857143
ARG2-into,6,8,0.75
ARG2-of,8,9,0.8888888888888888
ARG2-on,11,16,0.6875
ARG2-through,1,1,1.0
ARG2-to,15,30,0.5
ARG2-with,15,18,0.8333333333333334
ARG3,7,11,0.6363636363636364
ARG3-at,4,4,1.0
ARG3-by,1,2,0.5
ARG3-for,10,11,0.9090909090909091
ARG3-from,8,13,0.6153846153846154
ARG3-in,1,1,1.0
ARG3-into,1,1,1.0
ARG3-of,1,1,1.0
ARG3-off,1,1,1.0
ARG3-on,2,2,1.0
ARG3-to,1,2,0.5
ARG3-with,1,1,1.0
ARG4,2,3,0.6666666666666666
ARG4-at,2,2,1.0
ARG4-beyond,1,1,1.0
ARG4-for,1,2,0.5
ARG4-into,0,2,0.0
ARG4-to,17,27,0.6296296296296297
ARG4-under,1,1,1.0
ARG5-DIR,2,2,1.0
ARGM-ADV,85,135,0.6296296296296297
ARGM-CAU,21,29,0.7241379310344828
ARGM-DIR,11,18,0.6111111111111112
ARGM-DIS,17,57,0.2982456140350877
ARGM-EXT,13,15,0.8666666666666667
ARGM-LOC,57,92,0.6195652173913043
ARGM-MNR,52,84,0.6190476190476191
ARGM-MOD,12,126,0.09523809523809523
ARGM-NEG,6,49,0.12244897959183673
ARGM-PNC,26,28,0.9285714285714286
ARGM-TMP,107,246,0.4349593495934959
