lemma,roleset_id,role,description
abandon,abandon.01,ARG0,abandoner
abandon,abandon.01,ARG1,"thing abandoned, left behind"
abandon,abandon.01,ARG2,attribute of arg1
abandon,abandon.02,ARG0,abandoner
abandon,abandon.02,ARG1,"thing abandoned, left behind"
abandon,abandon.02,ARG2,preferred item
abandon,abandon.03,ARG0,entity abandoning something
abandon,abandon.03,ARG1,thing abandoned
abandon,abandon.03,ARG2,"benefactive, abandoned-to"
abate,abate.01,ARG0,causer
abate,abate.01,ARG1,entity decreased
abdicate,abdicate.01,ARG0,"abdicator, agent"
abdicate,abdicate.01,ARG1,responsibility
abduct,abduct.01,ARG0,agent
abduct,abduct.01,ARG1,person kidnapped
abet,abet.01,ARG0,agent of abetting
abet,abet.01,ARG1,"thing helped, action"
abide,abide.01,ARG0,conformer
abide,abide.01,ARG1,thing conformed to
abolish,abolish.01,ARG0,"entity getting rid of, outlawing something"
abolish,abolish.01,ARG1,thing abolished
abominate,abominate.01,ARG0,despiser
abominate,abominate.01,ARG1,thing despised
abort,abort.01,ARG0,"causer, agent"
abort,abort.01,ARG1,entity aborted
abound,abound.01,ARG1,thing which is plentiful
abound,abound.01,ARG2,thing which has arg1 in great supply
abridge,abridge.01,ARG0,causer
abridge,abridge.01,ARG1,thing abridged
absent,absent.01,ARG0,"causer, agent"
absent,absent.01,ARG1,absent entity
absent,absent.01,ARG2,absent from what
absolve,absolve.01,ARG0,"absolver, agent"
absolve,absolve.01,ARG1,guilty party
absolve,absolve.01,ARG2,guilt
absorb,absorb.01,ARG0,absorber
absorb,absorb.01,ARG1,"absorbed, us. liquid"
abstain,abstain.01,ARG0,entity abstaining
abstain,abstain.01,ARG1,abstaining from
abuse,abuse.01,ARG0,"abuser, agent"
abuse,abuse.01,ARG1,entity abused
accede,accede.01,ARG0,"acceder, agent"
accede,accede.01,ARG1,entity acceded to
accelerate,accelerate.01,ARG0,"agent, causing acceleration"
accelerate,accelerate.01,ARG1,thing acceleration
accelerate,accelerate.01,ARG2,EXT
accelerate,accelerate.01,ARG3,start point
accelerate,accelerate.01,ARG4,end point
accent,accent.01,ARG0,decorator
accent,accent.01,ARG1,thing decorated
accent,accent.01,ARG2,decorations
accept,accept.01,ARG0,acceptor
accept,accept.01,ARG1,thing accepted
accept,accept.01,ARG2,accepted-from
accept,accept.01,ARG3,attribute
access,access.01,ARG0,accessor
access,access.01,ARG1,thing accessed
acclaim,acclaim.01,ARG0,acclaimer
acclaim,acclaim.01,ARG1,acclaimed
acclaim,acclaim.01,ARG2,cause
accommodate,accommodate.01,ARG0,accommodater
accommodate,accommodate.01,ARG1,thing accommodated
accompany,accompany.01,ARG0,subject accompanier
accompany,accompany.01,ARG1,object accompanied
accompany,accompany.01,ARG3,start point
accompany,accompany.01,ARG4,end point
accomplish,accomplish.01,ARG0,doer
accomplish,accomplish.01,ARG1,deed
accord,accord.01,ARG0,giver
accord,accord.01,ARG1,gift
accord,accord.01,ARG2,given-to
account,account.01,ARG0,accounter
account,account.01,ARG1,"thing accounted for, dealt with, explained"
account,account.01,ARG2,"instrumental, accounted for with or by"
accrete,accrete.01,ARG0,accreting entity
accrete,accrete.01,ARG1,stuff gained
accrue,accrue.01,ARG0,"agent, gatherer"
accrue,accrue.01,ARG1,"thing gathered, accrued"
accumulate,accumulate.01,ARG0,entity accumulating something
accumulate,accumulate.01,ARG1,thing/stuff accumulated
accumulate,accumulate.01,ARG3,price
accuse,accuse.01,ARG0,accuser
accuse,accuse.01,ARG1,accused
accuse,accuse.01,ARG2,crime
accustom,accustom.01,ARG0,rare causal agent
accustom,accustom.01,ARG1,thing getting used to something
accustom,accustom.01,ARG2,thing getting used to
ace,ace.01,ARG0,acer
ace,ace.01,ARG1,test
ache,ache.01,ARG0,body part aching
achieve,achieve.01,ARG0,achiever
achieve,achieve.01,ARG1,"thing achieved, gotten, accomplished"
acidify,acidify.01,ARG0,"causer of acidity, agent"
acidify,acidify.01,ARG1,thing now acidic
acknowledge,acknowledge.01,ARG0,"admitter, claimer, speaker"
acknowledge,acknowledge.01,ARG1,"proposition, claim, utterance"
acknowledge,acknowledge.01,ARG2,hearer
acknowledge,acknowledge.01,ARG3,secondary predication
acquaint,acquaint.01,ARG0,rare agent
acquaint,acquaint.01,ARG1,knower
acquaint,acquaint.01,ARG2,acquaintance
acquiesce,acquiesce.01,ARG0,"acquiescer, complier"
acquiesce,acquiesce.01,ARG1,"thing complied to, in, or with"
acquire,acquire.01,ARG0,"agent, entity acquiring something"
acquire,acquire.01,ARG1,thing acquired
acquire,acquire.01,ARG2,seller
acquire,acquire.01,ARG3,price paid
acquire,acquire.01,ARG4,benefactive
acquit,acquit.01,ARG0,remover of guilt
acquit,acquit.01,ARG1,(un)guilty party
acquit,acquit.01,ARG2,explicit mention of guilt
act,act.01,ARG0,player
act,act.01,ARG1,role
act,act.02,ARG0,actor
act,act.02,ARG1,grounds for action
activate,activate.01,ARG0,activator
activate,activate.01,ARG1,thing now active
adapt,adapt.01,ARG0,"agent, adaptor"
adapt,adapt.01,ARG1,thing adapted
adapt,adapt.01,ARG2,adapted to
adapt,adapt.01,ARG3,adapted from
add,add.01,ARG0,speaker
add,add.01,ARG1,utterance
add,add.02,ARG0,adder
add,add.02,ARG1,thing being added
add,add.02,ARG2,thing being added to
add,add.03,ARG1,"Logical subject, patient, thing rising/gaining/being added to"
add,add.03,ARG2,"EXT, amount risen"
add,add.03,ARG4,end point
add,add.03,ARGM,medium
add_up,add.04,ARG1,things added
add_up,add.04,ARG2,result
addict,addict.01,ARG0,causer of addiction
addict,addict.01,ARG1,addicted entity
addict,addict.01,ARG2,drug etc.
address,address.01,ARG0,caller
address,address.01,ARG1,item being labelled
address,address.01,ARG2,recipient
address,address.02,ARG0,"agent, one paying attention"
address,address.02,ARG1,paying attention to what
address,address.02,ARG2,answer
adhere,adhere.01,ARG0,agent/causer of adhesion
adhere,adhere.01,ARG1,theme of adhesion
adhere,adhere.01,ARG2,thing stuck to
adhere,adhere.02,ARG0,follower
adhere,adhere.02,ARG1,"policy, etc."
adjourn,adjourn.01,ARG0,"closer, adjourner"
adjourn,adjourn.01,ARG1,thing closed
adjudicate,adjudicate.01,ARG0,adjudicator
adjudicate,adjudicate.01,ARG1,decision or conflict
adjust,adjust.01,ARG0,causer of transformation
adjust,adjust.01,ARG1,thing changing
adjust,adjust.01,ARG2,end state
adjust,adjust.01,ARG3,start state
adjust,adjust.01,ARG4,"purpose, reason for adjustment"
administer,administer.01,ARG0,"administrator, agent"
administer,administer.01,ARG1,entity administered
administer,administer.01,ARG2,administered to/upon
admire,admire.01,ARG0,admirer
admire,admire.01,ARG1,admired
admit,admit.01,ARG0,admitter
admit,admit.01,ARG1,truth
admit,admit.01,ARG2,Hearer
admit,admit.02,ARG0,allower (ticket)
admit,admit.02,ARG1,enterer
admit,admit.02,ARG2,place entered
admonish,admonish.01,ARG0,persuader
admonish,admonish.01,ARG1,persuaded agent
admonish,admonish.01,ARG2,persuaded action
admonish,admonish.02,ARG0,chastiser
admonish,admonish.02,ARG1,chastised
admonish,admonish.02,ARG2,wrongdoing
adopt,adopt.01,ARG0,adopter
adopt,adopt.01,ARG1,thing adopted
adopt,adopt.01,ARG2,secondary attibute
adorn,adorn.01,ARG0,"decorator, agent"
adorn,adorn.01,ARG1,entity adorned
adorn,adorn.01,ARG2,ornaments
advance,advance.01,ARG0,"agent, causing advance"
advance,advance.01,ARG1,thing advancing
advance,advance.01,ARG2,"EXT, amount advanced by"
advance,advance.01,ARG3,start point
advance,advance.01,ARG4,end point
advertise,advertise.01,ARG0,advertiser
advertise,advertise.01,ARG1,"thing being pitched, advertised"
advise,advise.01,ARG0,entity giving advice
advise,advise.01,ARG1,"entity getting advice, impelled agent"
advise,advise.01,ARG2,"advice, impelled action"
advocate,advocate.01,ARG0,"advocate, suggest"
advocate,advocate.01,ARG1,suggestion
advocate,advocate.01,ARG2,recipient of advice
affect,affect.01,ARG0,thing affecting--animate only!
affect,affect.01,ARG1,thing affected
affect,affect.01,ARG2,instrument
affect,affect.02,ARG0,"agent, assumer"
affect,affect.02,ARG1,characteristic
affiliate,affiliate.01,ARG0,"causer of affiliation, agent"
affiliate,affiliate.01,ARG1,entity affiliated
affiliate,affiliate.01,ARG2,affiliated with
affirm,affirm.01,ARG0,confirmer
affirm,affirm.01,ARG1,"thing confirmed, statement or proposition"
affirm,affirm.01,ARG2,"benefactive, hearer"
afflict,afflict.01,ARG0,causer of suffering
afflict,afflict.01,ARG1,entity suffering
afflict,afflict.01,ARG2,"instrument, if separate from arg0"
afford,afford.01,ARG0,"haver of financial means, agent"
afford,afford.01,ARG1,"costly thing, theme"
afford,afford.02,ARG0,"provider, agent"
afford,afford.02,ARG1,"provided, theme"
afford,afford.02,ARG2,recipient
age,age.01,ARG0,"causer of aging, agent"
age,age.01,ARG1,entity getting old
age,age.01,ARG2,attribute (how old)
aggravate,aggravate.01,ARG0,causer
aggravate,aggravate.01,ARG1,thing getting angry or getting worse
aggravate,aggravate.01,ARG2,"instrument, if separate from arg0"
agitate,agitate.01,ARG0,causer
agitate,agitate.01,ARG1,experiencer
agonize,agonize.01,ARG1,agonized entity
agonize,agonize.01,ARG2,cause of agony
agree,agree.01,ARG0,agreer
agree,agree.01,ARG1,proposition
agree,agree.01,ARG2,other entity agreeing
aid,aid.01,ARG0,helper
aid,aid.01,ARG1,project
aid,aid.01,ARG2,benefactor
ail,ail.01,ARG0,illness
ail,ail.01,ARG1,sick entity
aim,aim.01,ARG0,aimer
aim,aim.01,ARG1,action
aim,aim.02,ARG0,aimer
aim,aim.02,ARG1,thing in motion
aim,aim.02,ARG2,target
air,air.01,ARG0,"airer, agent"
air,air.01,ARG1,thing aired
air,air.01,ARG2,audience
airlift,airlift.01,ARG0,"agent, causer"
airlift,airlift.01,ARG1,entity transported
airlift,airlift.01,ARG2,transported to
airlift,airlift.01,ARG3,transported from
alarm,alarm.01,ARG0,warning
alarm,alarm.01,ARG1,entity alarmed
alert,alert.01,ARG0,entity giving warning
alert,alert.01,ARG1,entity getting warning
alert,alert.01,ARG2,warning
alienate,alienate.01,ARG0,"causer of anger, agent"
alienate,alienate.01,ARG1,entity getting angry
alienate,alienate.01,ARG2,"instrument, if separate from agent"
align,align.01,ARG0,"arranger, agent"
align,align.01,ARG1,thing being aligned
align,align.01,ARG2,"standard of comparison, aligned-to"
allay,allay.01,ARG0,"agent, causer"
allay,allay.01,ARG1,entity relieved
allege,allege.01,ARG0,"speaker, alleger"
allege,allege.01,ARG1,"utterance, allegation"
allege,allege.01,ARG2,hearer
alleviate,alleviate.01,ARG0,"agent, causer"
alleviate,alleviate.01,ARG1,problems
allocate,allocate.01,ARG0,granter
allocate,allocate.01,ARG1,thing granted
allocate,allocate.01,ARG2,"benefactive, granted-to"
allow,allow.01,ARG0,allower
allow,allow.01,ARG1,action allowed
allow,allow.02,ARG0,allocator
allow,allow.02,ARG1,thing allocated (us. time)
allow,allow.02,ARG2,to some task
allow,allow.03,ARG0,admitter
allow,allow.03,ARG1,true proposition
allude,allude.01,ARG0,"alluder, agent"
allude,allude.01,ARG1,entity alluded to
ally,ally.01,ARG0,"agent, causer"
ally,ally.01,ARG1,entity united
ally,ally.01,ARG2,entity united with
alter,alter.01,ARG0,causer of transformation
alter,alter.01,ARG1,thing changing
alter,alter.01,ARG2,end state
alter,alter.01,ARG3,start state
alternate,alternate.01,ARG0,causer of switch
alternate,alternate.01,ARG1,thing switching
alternate,alternate.01,ARG2,possibilities
amalgamate,amalgamate.01,ARG0,"mixer, agent"
amalgamate,amalgamate.01,ARG1,ingredient(s)
amass,amass.01,ARG0,entity accumulating something
amass,amass.01,ARG1,thing/stuff accumulated
amass,amass.01,ARG3,price
amaze,amaze.01,ARG0,causer of amazement
amaze,amaze.01,ARG1,amazed entity
amaze,amaze.01,ARG2,target of amazement
amble,amble.01,ARG0,"walker, agent"
ambush,ambush.01,ARG0,"ambusher, agent"
ambush,ambush.01,ARG1,entity ambushed
amend,amend.01,ARG0,"amender, corrector"
amend,amend.01,ARG1,thing amended
amend,amend.01,ARG2,secondary predication on arg1
americanize,americanize.01,ARG0,"causer, agent"
americanize,americanize.01,ARG1,victim
americanize,americanize.01,ARG2,instrument
amortize,amortize.01,ARG0,"spreader of burden, agent"
amortize,amortize.01,ARG1,"burden (us. cost, debt)"
amortize,amortize.01,ARG2,spread over what
amount,amount.01,ARG1,thing(s) being counted
amount,amount.01,ARG2,"count, total"
amount,amount.02,ARG1,focus
amount,amount.02,ARG2,"ground, introduced by 'to'"
amplify,amplify.01,ARG0,causer of becoming louder
amplify,amplify.01,ARG1,thing becoming louder
amplify,amplify.01,ARG2,"instrument, if separate from arg0"
amuse,amuse.01,ARG0,causer of mirth
amuse,amuse.01,ARG1,mirthful entity
amuse,amuse.01,ARG2,instrument
analyze,analyze.01,ARG0,student
analyze,analyze.01,ARG1,subject
anchor,anchor.01,ARG0,"causer of anchorment, agent"
anchor,anchor.01,ARG1,thing anchored
anger,anger.01,ARG0,cause of anger
anger,anger.01,ARG1,experiencer
animate,animate.01,ARG0,animator (prob. rare)
animate,animate.01,ARG1,cartoon
animate,animate.02,ARG0,"cause, emotion"
animate,animate.02,ARG1,lively thing
announce,announce.01,ARG0,announcer
announce,announce.01,ARG1,utterance
announce,announce.01,ARG2,hearer
announce,announce.01,ARG3,attribute of arg1
annoy,annoy.01,ARG0,annoyer
annoy,annoy.01,ARG1,annoyed
annoy,annoy.01,ARG2,"instrument, if separate from arg0"
anoint,anoint.01,ARG0,"anointer, agent"
anoint,anoint.01,ARG1,entity anointed
answer,answer.01,ARG0,replier
answer,answer.01,ARG1,in response to
answer,answer.01,ARG2,answer
antagonize,antagonize.01,ARG0,causer
antagonize,antagonize.01,ARG1,entity antagonized
anticipate,anticipate.01,ARG0,anticipater
anticipate,anticipate.01,ARG1,thing anticipated
anticipate,anticipate.02,ARG0,thing coming before
anticipate,anticipate.02,ARG1,thing coming after
apologize,apologize.01,ARG0,apologist
apologize,apologize.01,ARG1,apologize for
apologize,apologize.01,ARG2,apologized to
appall,appall.01,ARG0,causer of appallment
appall,appall.01,ARG1,appalled entity
appall,appall.01,ARG0,causer of appallment
appall,appall.01,ARG1,appalled entity
appeal,appeal.01,ARG0,appealer
appeal,appeal.01,ARG1,decision disagreed with
appeal,appeal.01,ARG2,appealed to
appeal,appeal.02,ARG0,"begger, appealer"
appeal,appeal.02,ARG1,"appealed to, begged from"
appeal,appeal.02,ARG2,begged/appealed for
appeal,appeal.03,ARG0,appealing thing
appeal,appeal.03,ARG1,entity attracted
appear,appear.01,ARG1,thing appearing
appear,appear.02,ARG1,thing seeming
appear,appear.02,ARG2,viewer
appease,appease.01,ARG0,"causer, agent"
appease,appease.01,ARG1,entity appeased
append,append.01,ARG0,attacher
append,append.01,ARG1,attached
append,append.01,ARG2,attached to
applaud,applaud.01,ARG0,clapper
applaud,applaud.01,ARG1,thing approved of
applaud,applaud.01,ARG2,"grounds, reason for approval"
apply,apply.01,ARG0,applier
apply,apply.01,ARG1,thing applied for
apply,apply.01,ARG2,entity applied to
apply,apply.02,ARG0,applier
apply,apply.02,ARG1,"thing applied, associated, worked"
apply,apply.02,ARG2,applied to
apply,apply.03,ARG0,"painter, agent"
apply,apply.03,ARG1,paint
apply,apply.03,ARG2,surface
apply,apply.03,ARG3,"instrument, brush"
apply,apply.04,ARG0,driver
apply,apply.04,ARG1,brakes
appoint,appoint.01,ARG0,"appointer, employer"
appoint,appoint.01,ARG1,"appointee, employee"
appoint,appoint.01,ARG2,"job, position"
appraise,appraise.01,ARG0,seller
appraise,appraise.01,ARG1,commodity
appraise,appraise.01,ARG2,price
appraise,appraise.02,ARG0,understanding entity
appraise,appraise.02,ARG1,"knowledge, topic"
appreciate,appreciate.01,ARG1,thing increasing
appreciate,appreciate.01,ARG2,EXT
appreciate,appreciate.01,ARG3,start point
appreciate,appreciate.01,ARG4,end point
appreciate,appreciate.02,ARG0,emoter
appreciate,appreciate.02,ARG1,thing appreciated
apprise,apprise.01,ARG0,informer
apprise,apprise.01,ARG1,informed
apprise,apprise.01,ARG2,information
approach,approach.01,ARG1,entity in motion
approach,approach.01,ARG2,destination
approach,approach.02,ARG0,"treater, dealer, agent"
approach,approach.02,ARG1,thing
approach,approach.02,ARG2,attribute
appropriate,appropriate.01,ARG0,"taker of possession, agent"
appropriate,appropriate.01,ARG1,entity appropriated
approve,approve.01,ARG0,approver
approve,approve.01,ARG1,thing approved
approve,approve.01,ARG2,secondary attribute
approximate,approximate.01,ARG0,entity coming close
approximate,approximate.01,ARG1,entity coming close to
arbitrage,arbitrage.01,ARG0,"arbitrager, agent"
arbitrage,arbitrage.01,ARG1,arbitrage on
arbitrate,arbitrate.01,ARG0,arbitrator
arbitrate,arbitrate.01,ARG1,decision or conflict
arch,arch.01,ARG0,causer of arching motion/state
arch,arch.01,ARG1,thing in arch-like configuration
argue,argue.01,ARG0,speaker
argue,argue.01,ARG1,argument
argue,argue.01,ARG2,listener
argue,argue.02,ARG0,first arguer
argue,argue.02,ARG1,second arguer
argue,argue.02,ARG2,topic
arise,arise.01,ARG1,thing (state) arising
arise,arise.01,ARG2,source (from or in or of)
arm,arm.01,ARG0,"equiper, provider, agent"
arm,arm.01,ARG1,entity armed
arm,arm.01,ARG2,equipment
arouse,arouse.01,ARG0,causer
arouse,arouse.01,ARG1,entity aroused
arrange,arrange.01,ARG0,builder
arrange,arrange.01,ARG1,"construction, item/material being arranged"
arrange,arrange.01,ARG2,start state
arrange,arrange.01,ARG3,benefactive
arrange,arrange.01,ARG4,end state
arrest,arrest.01,ARG0,police
arrest,arrest.01,ARG1,criminal
arrest,arrest.01,ARG2,crime
arrest,arrest.02,ARG0,causer of stopping
arrest,arrest.02,ARG1,thing stopping
arrive,arrive.01,ARG1,entity in motion / 'comer'
arrive,arrive.01,ARG2,extent -- rare)
arrive,arrive.01,ARG3,start point -- also rare)
arrive,arrive.01,ARG4,"end point, destination"
articulate,articulate.01,ARG0,speaker
articulate,articulate.01,ARG1,utterance
articulate,articulate.01,ARG2,hearer (in theory possible)
ascend,ascend.01,ARG0,entity rising
ascend,ascend.01,ARG1,location
ascribe,ascribe.01,ARG0,assigner
ascribe,ascribe.01,ARG1,thing assigned (attribute)
ascribe,ascribe.01,ARG2,assigned to
ask,ask.01,ARG0,asker
ask,ask.01,ARG1,question
ask,ask.01,ARG2,hearer
ask,ask.01,ARG3,attributive
ask,ask.02,ARG0,asker
ask,ask.02,ARG1,favor
ask,ask.02,ARG2,hearer
ask,ask.03,ARG0,seller
ask,ask.03,ARG1,commodity
ask,ask.03,ARG2,buyer
ask,ask.03,ARG3,asking price
aspire,aspire.01,ARG0,hoper
aspire,aspire.01,ARG1,action hoped to
assail,assail.01,ARG0,"assailant, agent"
assail,assail.01,ARG1,entity assailed
assail,assail.01,ARG2,assailed for
assassinate,assassinate.01,ARG0,"assassin, agent"
assassinate,assassinate.01,ARG1,person assassinated
assemble,assemble.01,ARG0,builder
assemble,assemble.01,ARG1,construction
assemble,assemble.01,ARG2,"material, start state"
assemble,assemble.01,ARG4,end state
assemble,assemble.02,ARG0,"agent, entity causing some grouping"
assemble,assemble.02,ARG1,"theme, thing being included in some group"
assemble,assemble.02,ARG2,group
assert,assert.01,ARG0,asserter
assert,assert.01,ARG1,thing asserted
assert,assert.02,ARG0,Sayer
assert,assert.02,ARG1,Utterance
assert,assert.02,ARG2,Hearer
assert,assert.02,ARG3,Attribute of arg1
assert,assert.03,ARG0,"claimer, asserter"
assert,assert.03,ARG1,"thing claimed, asserted"
assert,assert.03,ARG2,"benefactive, claimed/asserted for"
assert,assert.03,ARG3,secondary predication on arg1
assess,assess.01,ARG0,"assessor, agent"
assess,assess.01,ARG1,entity assessed
assess,assess.01,ARG2,value or attribute
assign,assign.01,ARG0,"agent, assigner"
assign,assign.01,ARG1,thing assigned
assign,assign.01,ARG2,assigned to
assimilate,assimilate.01,ARG0,causer of change
assimilate,assimilate.01,ARG1,thing changing
assimilate,assimilate.01,ARG2,target
assist,assist.01,ARG0,assistant
assist,assist.01,ARG1,assisted
assist,assist.01,ARG2,project
associate,associate.01,ARG0,"agent, entity causing some grouping, making an   association"
associate,associate.01,ARG1,"theme, thing being included in some group"
associate,associate.01,ARG2,"group, associated-with"
assuage,assuage.01,ARG0,"mender, causer, agent"
assuage,assuage.01,ARG1,"hurt feelings, or person with hurt feelings"
assume,assume.01,ARG0,entity acquiring something
assume,assume.01,ARG1,thing being acquired
