role,count
ARG1,32502
ARG0,23990
ARGM,13779
ARG2,10631
ARG3,1859
ARGM-TMP,1597
ARGM-MOD,873
ARGM-ADV,859
ARG4,636
ARGM-MNR,636
ARGM-LOC,612
ARGM-DIS,453
ARGM-NEG,318
ARG2-TO,236
ARGM-PNC,215
ARG4-TO,203
ARG0-BY,197
ARG2-EXT,186
ARGM-CAU,144
ARG2-WITH,94
ARGM-DIR,93
ARG3-FROM,85
ARG5,84
ARG2-FROM,84
ARG2-AS,79
ARG2-IN,74
ARG2-ON,73
ARG3-FOR,64
ARG2-AT,63
ARG1-TO,62
ARGM-EXT,61
ARG2-FOR,58
ARG2-BY,54
ARG1-ON,53
ARG1-FOR,52
ARG2-INTO,41
ARG2-OF,37
ARG1-WITH,35
ARG1-ABOUT,26
ARG2-PNC,26
ARG2-MNR,24
ARG3-AT,23
ARGA,19
ARG1-OF,18
ARG1-IN,17
ARG2-DIR,16
ARG1-AS,15
ARGM-PRD,15
ARG1-FROM,14
ARG3-TO,12
ARG1-REC,10
ARG1-INTO,10
ARG3-ON,10
ARG4-INTO,9
ARG1-AT,8
ARG2-ABOUT,8
ARG2-AGAINST,7
ARG4-AT,7
ARG4-FOR,7
ARG3-AS,6
ARG3-WITH,6
ARG6,5
ARG0-FROM,5
ARG1-BY,5
ARG2-BETWEEN,5
ARG2-THROUGH,5
ARG2-UNDER,5
ARG3-IN,5
ARG3-INTO,5
ARG4-BELOW,5
ARG0-IN,4
ARG1-UPON,4
ARG2-OVER,4
ARG0-ABOUT,3
ARG1-OVER,3
ARG2-LOC,3
ARG2-AMONG,3
ARG2-OUT,3
ARG2-TOWARD,3
ARG4-AS,3
ARGM-REC,3
ARG0-OF,2
ARG0-WITH,2
ARG1-AFTER,2
ARG1-AGAINST,2
ARG1-ONTO,2
ARG2-ACROSS,2
ARG2-AROUND,2
ARG2-BEFORE,2
ARG2-LIKE,2
ARG2-OFF,2
ARG2-UNTIL,2
ARG3-AGAINST,2
ARG3-BY,2
ARG3-OF,2
ARG4-ABOVE,2
ARG4-BEYOND,2
ARG4-UNDER,2
ARG5-DIR,2
ARG0-AMONG,1
ARG0-BETWEEN,1
ARG0-OVER,1
ARG0-TO,1
ARG1-AROUND,1
ARG1-LIKE,1
ARG1-UNTIL,1
ARG1-UP,1
ARG2-REC,1
ARG2-ABOARD,1
ARG2-ABOVE,1
ARG2-AMID,1
ARG2-BEHIND,1
ARG2-BELOW,1
ARG2-BEYOND,1
ARG2-UPON,1
ARG3-ADV,1
ARG3-EXT,1
ARG3-ABOUT,1
ARG3-ABOVE,1
ARG3-BELOW,1
ARG3-NEXT,1
ARG3-OFF,1
ARG3-OVER,1
ARG3-PER,1
ARG3-UNDER,1
ARG4-ABOUT,1
ARG4-BEFORE,1
ARG4-BY,1
ARG4-OF,1
ARG4-OUTSIDE,1
ARG4-OVER,1
ARG4-TOWARD,1
ARG5-IN,1
