token,count
srl,46321
his,23441
unk,23274
arg-1,19545
did,19438
arg-m,13589
arg-0,13444
which,11259
they,10984
their,10385
had,9951
have,9652
has,9050
her,8482
its,8433
not,8000
does,7928
arg-2,7448
would,7430
she,7218
one,7047
but,7009
into,6938
new,6911
can,6767
after,6368
him,5797
also,5713
n't,5671
out,5655
all,5576
two,5565
been,5497
will,5378
other,5195
first,4938
more,4643
about,4362
years,4306
being,4212
them,4194
over,4188
during,4132
through,4083
some,4017
used,3858
time,3854
made,3770
only,3690
there,3497
